text,personality
"I enjoy meeting new people and going to parties",Extrovert
"I like spending time alone reading books",Introvert
"I feel energized when I am around people",Extrovert
"I prefer quiet environments and small groups",Introvert
"I love social gatherings and events",Extrovert
"I often spend time thinking and reflecting",Introvert
"I enjoy teamwork and group activities",Extrovert
"I like working alone most of the time",Introvert
"I feel comfortable talking to many people",Extrovert
"I prefer staying home rather than going out",Introvert
